id,title,status,type,area,priority,tags,file
ADM-001,"Admin permissions, moderation and restricted reset",backlog,feature,admin,high,"admin,permissions,reset,moderation,names",docs/planning/items/ADM-001-admin-rights.md
ADM-001-A,Dangerous scribe tool audit,done,technical,admin,medium,"admin,audit,safety",docs/planning/items/ADM-001-A.md
ADM-001-B,Scribe action audit helper,done,technical,admin,medium,"admin,audit,world-events",docs/planning/items/ADM-001-B.md
ADM-001-C,Restart confirmation and HTML safety hardening,testing,technical,admin,high,"admin,safety,restart,slashless,html,features",docs/planning/items/ADM-001-C.md
ADM-002,Scribe creature corpse creation command,testing,feature,admin,medium,"admin,creatures,corpses,testing",docs/planning/items/ADM-002-add-creature-corpse-command.md
ALC-001,First herbal stamina elixir,backlog,feature,survival,high,"alchemy,herbs,berries,stamina,crafting,inventory",docs/planning/items/ALC-001-herbal-stamina-elixir.md
ANIMAL-001,Animal speech reactions,in_progress,feature,ecology,medium,"animals,speech,social,ecology,reactions",docs/planning/items/ANIMAL-001-speech-reactions.md
AUTH-001,Profile protection and client-neutral login,icebox,system,account,medium,"auth,account,profile,mud,recovery",docs/planning/items/AUTH-001-profile-protection-and-client-neutral-login.md
BARTER-001,Early exchange and barter foundation after give,next,feature,economy,high,"barter,exchange,give,inventory,economy,npc,trade",docs/planning/items/BARTER-001-early-exchange-and-barter-foundation.md
BUILD-001,Generic build command foundation,backlog,feature,commands,medium,"commands,aliases,building,crafting,mud",docs/planning/items/BUILD-001-generic-build-command.md
CAL-001,"Deep calendar, sacred days and named years",icebox,system,world_time,medium,"calendar,world-time,moon-phases,seasons,folklore,atmosphere",docs/planning/items/CAL-001_calendar_moon_phases_and_named_years.md
CAMP-001,Starter camp prose and feature audit,done,content,core-loop,high,"camp,onboarding,mud,look,examine",docs/planning/items/CAMP-001-starter-camp-prose-and-feature-audit.md
CAMP-002,Starter watchtower and camp torch-source route update,testing,feature,core-loop,high,"camp,map,torch,light,mud,vertical-exits",docs/planning/items/CAMP-002-starter-watchtower-and-torch-source.md
CAMP-003,Shared beginner cache and hidden restock,testing,feature,core-loop,high,"camp,onboarding,inventory,light,restock",docs/planning/items/CAMP-003-shared-beginner-cache.md
CAT-001,Camp spirit cat foundation,testing,feature,ecology,medium,"cat,camp,creature,ecology,spirit,immortal",docs/planning/items/CAT-001-camp-spirit-cat-foundation.md
CAT-002,Camp boundary and vertical movement for the spirit cat,testing,feature,movement,medium,"cat,camp,movement,vertical,boundary",docs/planning/items/CAT-002-camp-boundary-and-vertical-movement.md
CAT-003,Spirit cat mouse hunting priority inside camp,in_progress,feature,ecology,medium,"cat,mouse,predator,camp,ecology",docs/planning/items/CAT-003-mouse-hunting-priority.md
CAT-004,Raw meat interest and camp-box theft scene,next,feature,inventory,medium,"cat,meat,camp,inventory,give,affordance",docs/planning/items/CAT-004-raw-meat-interest-and-theft-scene.md
CAT-005,"Cat social gestures: shoo, wave off, rub against, circle around",next,feature,social,medium,"cat,social,signals,telegram,actions,give",docs/planning/items/CAT-005-cat-social-actions.md
CAT-006,"Body-language reactions to weather, daypart, fire and darkness",next,content,atmosphere,low,"cat,weather,daypart,fire,visibility,copy,ukrainian",docs/planning/items/CAT-006-body-language-weather-and-fire.md
CAT-007,Camp cat tests and tuning pass,next,chore,testing,medium,"cat,tests,tuning,ecology,social",docs/planning/items/CAT-007-camp-cat-tests-and-tuning.md
CAT-008,"Camp spirit cat docs, news and release notes",next,content,docs,low,"cat,docs,news,release,planning",docs/planning/items/CAT-008-docs-news-release.md
CAT-009,Camp cat watch posture and soft warnings,testing,feature,atmosphere,medium,"cat,camp,atmosphere,safety,onboarding",docs/planning/items/CAT-009-camp-cat-watch-and-soft-warnings.md
CAT-010,Camp cat cache and newcomer presence,testing,feature,onboarding,low,"cat,camp,beginner-cache,onboarding,atmosphere",docs/planning/items/CAT-010-camp-cat-cache-and-newcomer-presence.md
CMD-001,Near-term text command pack,testing,feature,commands,high,"commands,aliases,mud,speech,navigation",docs/planning/items/CMD-001-near-term-text-command-pack.md
CMD-002,Put items into local containers and features,testing,feature,commands,high,"commands,inventory,containers,aliases",docs/planning/items/CMD-002-put-items-into-containers.md
CMD-003,Public news command deep-link audit,backlog,technical,commands,high,"commands,news,telegram,deep-links,web",docs/planning/items/CMD-003-news-command-deep-link-audit.md
COMBAT-001,Creature aggression and defense,backlog,feature,combat,medium,"animals,combat,predators,ecology",docs/planning/items/COMBAT-001-creature-aggression-and-defense.md
CRAFT-001,Craftable placeable chests,backlog,feature,crafting,medium,"crafting,containers,storage,item-instances,camp",docs/planning/items/CRAFT-001-craftable-placeable-chests.md
DAYNOTICE-001,Player daypart notice settings,testing,feature,notifications,high,"notifications,world-time,daypart,sleep,settings,0.14",docs/planning/items/DAYNOTICE-001-player-daypart-notice-settings.md
DREAM-001,Sleeping body and dream presence separation,backlog,technical,dreams,high,"dreams,tutorial,architecture,body,liminality",docs/planning/items/DREAM-001-sleeping-body-and-dream-presence.md
DREAM-002,Lucid dream instance MVP,backlog,feature,dreams,medium,"dreams,lucid-dreams,instances,groups,quests",docs/planning/items/DREAM-002-lucid-dream-instance-mvp.md
DREAM-003,Dream outcomes and guarded rare transfer,backlog,feature,dreams,medium,"dreams,rewards,knowledge,item-origin,quests",docs/planning/items/DREAM-003-dream-outcomes-and-rare-transfer.md
DREAM-004,Advanced group and place-spirit dreams,icebox,feature,dreams,low,"dreams,groups,spirits,rituals,mythic",docs/planning/items/DREAM-004-advanced-group-and-place-spirit-dreams.md
ECO-001,Reproduction and herbivore overpopulation,testing,feature,ecology,high,"ecology,reproduction,herbivores,rabbits,resources,world-reactivity",docs/planning/items/ECO-001-reproduction-and-overpopulation.md
ECO-002,Carcass drop-off contribution and settlement reaction,testing,feature,ecology,high,"ecology,hunting,settlement,rewards",docs/planning/items/ECO-002-carcass-dropoff-reaction.md
ECO-003,Gate hunting saturation and stand-down state,testing,feature,ecology,high,"ecology,hunting,settlement,npc,rewards",docs/planning/items/ECO-003-gate-hunting-saturation.md
ECO-004,Population floor restoration,testing,feature,ecology,high,"ecology,creatures,population,world-tick",docs/planning/items/ECO-004-population-floor-restoration.md
ECO-005,Animal restoration offerings,next,feature,ecology,high,"ecology,creatures,offerings,location-features",docs/planning/items/ECO-005-animal-restoration-offerings.md
ECO-006,Animal movement boundaries for authored vertical exits,testing,feature,ecology,high,"ecology,animals,movement,verticality,camp",docs/planning/items/ECO-006-animal-movement-boundaries.md
ECO-007,Animal taming and small companions,icebox,feature,ecology,medium,"ecology,creatures,companions,following,feeding",docs/planning/items/ECO-007-animal-taming-companions.md
ECO-008,Herbivore carrion and mouse cannibalism pressure,backlog,feature,ecology,medium,"ecology,creatures,hunger,carrion,mice,rabbits",docs/planning/items/ECO-008-herbivore-carrion-and-mouse-cannibalism.md
ECO-009,Seasonal ecology and environment variation,backlog,system,ecology,low,"ecology,seasons,calendar,resources,animals,atmosphere",docs/planning/items/ECO-009-seasonal-ecology-and-environment.md
ECON-001,Barter and trade,backlog,feature,economy,medium,"barter,trade,npc,economy",docs/planning/items/ECON-001-barter-and-trade.md
FIRE-001-A,Active light connects to visibility,testing,feature,survival,high,"fire,light,visibility",docs/planning/items/FIRE-001-A.md
FIRE-001-B,Expired campfire behavior polish,next,feature,survival,medium,"fire,campfire,copy",docs/planning/items/FIRE-001-B.md
FIRE-001-C,Carried torch visibility,testing,feature,survival,high,"torch,light,visibility",docs/planning/items/FIRE-001-C.md
FIRE-001-D,Light source matrix test,testing,qa,survival,high,"fire,light,visibility,torch,campfire,npc",docs/planning/items/FIRE-001-D-light-source-matrix-test.md
FIRE-002,Magical campfire examine layer,proposed,content,survival,medium,"fire,campfire,examine,light,atmosphere",docs/planning/items/FIRE-002-magic-campfire-examine-layer.md
FIRE-002,Target-aware campfire commands,backlog,feature,survival,high,"fire,campfire,commands,aliases,targets",docs/planning/items/FIRE-002-targeted-campfire-commands.md
FISH-001,Riverbank fishing and fisher NPC,backlog,feature,survival,high,"fishing,npc,skills,riverbank,observation",docs/planning/items/FISH-001-riverbank-fishing-and-fisher-npc.md
FISH-002,Riverbank fisher tiny slice,backlog,feature,survival,high,"fishing,npc,riverbank,observation,atmosphere",docs/planning/items/FISH-002-riverbank-fisher-tiny-slice.md
FISH-003,Deep-water fishing line seeds,proposed,content,survival,medium,"fishing,water,atmosphere,examine,future",docs/planning/items/FISH-003-deep-water-fishing-lines.md
FOOD-001,"Corpse freshening, meat and campfire cooking",testing,feature,survival,high,"food,corpses,freshening,cooking,hunger,campfire",docs/planning/items/FOOD-001-corpse-freshening-meat-and-campfire-cooking.md
FOOD-002,Spoiled meat and risky eating,backlog,feature,survival,medium,"food,cooking,survival,hunger,risk",docs/planning/items/FOOD-002-spoiled-meat-and-risky-eating.md
FOOD-003,Freshened corpse remains,backlog,feature,survival,medium,"food,corpses,remains,hunting,dropoff",docs/planning/items/FOOD-003-freshened-corpse-remains.md
FOOD-004,Hunger cues and eating nudges,testing,feature,survival,medium,"food,hunger,reminders,ux",docs/planning/items/FOOD-004-hunger-cues-and-eating-nudges.md
FOOD-005,Hunger consequences for health and stamina recovery,backlog,feature,survival,medium,"food,hunger,hp,stamina,survival",docs/planning/items/FOOD-005-hunger-consequences.md
FOOD-006,Mushroom varieties and identification,backlog,feature,survival,medium,"food,mushrooms,foraging,alchemy,risk",docs/planning/items/FOOD-006-mushroom-varieties-and-identification.md
FOOD-007,Mushroom visions and dream effects,icebox,feature,survival,low,"food,mushrooms,dreams,visions,effects,alchemy",docs/planning/items/FOOD-007-mushroom-visions-and-dream-effects.md
GIVE-001,Generic give command MVP and exchange bridge,next,feature,inventory,high,"give,inventory,items,targets,exchange,barter,cat,telegram",docs/planning/items/GIVE-001-give-command-and-exchange-bridge.md
GIVE-002,Ukrainian inflection-tolerant give parser and grammar bridge,testing,technical,input,high,"give,input,parser,ukrainian,grammar,lexicon,inventory,targets,barter",docs/planning/items/GIVE-002-ukrainian-give-parser-grammar.md
HERALD-001,Embedded main-service mode for Boundary Mark Chancery Herald,icebox,technical,ops,low,"herald,telegram,render,ops,architecture,icebox",docs/planning/items/HERALD-001-embedded-main-service-mode.md
HERALD-002,Herald outbox idempotency and locking,backlog,reliability,herald,medium,"herald,outbox,idempotency,locking,telegram",docs/planning/items/HERALD-002-outbox-idempotency-and-locking.md
